visual_id,storyline_page,action_title,png,svg,data_csv,source,caveat,lint
01_executive_scorecard,1,Topline weakened while lower marketing spend protected PBO,outputs/report_visuals/01_executive_scorecard.png,outputs/report_visuals/01_executive_scorecard.svg,outputs/report_visuals/data/01_executive_scorecard.csv,outputs/sales_master.csv and P&L Table.xlsx,All raw Sales rows included; flagged TO > GSV rows remain subject to validation,clean
02_turnover_decline_bridge,1,Lower GSV explains €17.40m of the TO decline; discount intensity explains €2.17m,outputs/report_visuals/02_turnover_decline_bridge.png,outputs/report_visuals/02_turnover_decline_bridge.svg,outputs/report_visuals/data/02_turnover_decline_bridge.csv,outputs/sales_master.csv,Rate-hold arithmetic; not a measured promotion ROI or causal estimate,clean
03_market_share_bridge,2,"OLIVE erased SKY and COBALT gains, taking UniSweet share down 1.97 points",outputs/report_visuals/03_market_share_bridge.png,outputs/report_visuals/03_market_share_bridge.svg,outputs/report_visuals/data/03_market_share_bridge.csv,Market Report MAT Nov'24.xlsx,Contributions read from zero; source rounding of -0.001 pp shown explicitly,clean
04_channel_hotspot,2,MT is the relative hotspot; DT still carries the larger internal value gap,outputs/report_visuals/04_channel_hotspot.png,outputs/report_visuals/04_channel_hotspot.svg,outputs/report_visuals/data/04_channel_hotspot.csv,Raw Sales and Market Report MAT Nov'24.xlsx,"FY and MAT periods are shown side by side, not reconciled",clean
05_monthly_to_change,3,96% of the FY turnover decline occurred in H2,outputs/report_visuals/05_monthly_to_change.png,outputs/report_visuals/05_monthly_to_change.svg,outputs/report_visuals/data/05_monthly_to_change.csv,outputs/sales_master.csv,Monthly sell-in pattern does not establish holiday or seasonal causality,clean
06_customer_concentration,3,"Bliss, Candies and Macarons explain 91% of the turnover decline",outputs/report_visuals/06_customer_concentration.png,outputs/report_visuals/06_customer_concentration.svg,outputs/report_visuals/data/06_customer_concentration.csv,outputs/sales_master.csv,"Customer counts reflect observed UniSweet accounts, not market distribution",clean
07_product_losses_offsets,3,"POUCH 900GR and PACK 1.1KG drive the loss, partly offset by growing formats",outputs/report_visuals/07_product_losses_offsets.png,outputs/report_visuals/07_product_losses_offsets.svg,outputs/report_visuals/data/07_product_losses_offsets.csv,outputs/sales_master.csv,Pack names identify formats; they do not support physical-volume inference,clean
08_customer_sku_discount_matrix,3,Customer x SKU losses require more than a broad discount response,outputs/report_visuals/08_customer_sku_discount_matrix.png,outputs/report_visuals/08_customer_sku_discount_matrix.svg,outputs/report_visuals/data/08_customer_sku_discount_matrix.csv,outputs/sales_master.csv,Discount movement is diagnostic and does not establish promotion causality,clean
09_pbo_bridge,4,€15.5m lower marketing spend more than offset €10.3m lower Gross Profit,outputs/report_visuals/09_pbo_bridge.png,outputs/report_visuals/09_pbo_bridge.svg,outputs/report_visuals/data/09_pbo_bridge.csv,P&L Table.xlsx,Lower absolute supply-chain cost is not efficiency: Supply Chain Cost / TO worsened ~35 bps,clean
10_portfolio_direction,4,COBALT is the scale proof point; SKY requires diagnosis before reinvestment,outputs/report_visuals/10_portfolio_direction.png,outputs/report_visuals/10_portfolio_direction.svg,outputs/report_visuals/data/10_portfolio_direction.csv,"outputs/sales_master.csv, P&L Table.xlsx and Market Report MAT Nov'24.xlsx","Different FY and MAT periods are juxtaposed for diagnosis, not direct reconciliation",clean
11_action_cards,4,Three gated actions restore profitable growth without giving back protected PBO,outputs/report_visuals/11_action_cards.png,outputs/report_visuals/11_action_cards.svg,outputs/report_visuals/data/11_action_cards.csv,calls-to-action-by-audience.md,Funding scales only after positive incremental Gross Profit and the agreed PBO/payback gate,clean
